第,h
白衣天使,n
财经,j
富春,nhs
八字方针,n
留有余地,i
海淀区中关村三小,ni
李梦,nh
吴恩,nh
王希,nh
化工部,ni
康世恩,nh
宏伟,a
在身,v
医护人员,n
追悼会,n
蔡畅,nh
口吻,n
一九二二,m
旅欧,v
一中全会,j
选为,v
中央政治局,ni
小平,nhs
先念,nhs
３２０,m
全民所有,v
夜以继日,i
任劳任怨,i
公而忘私,i
鸦雀无声,i
静听,v
面额,n
辅,v
机智,a
上海红星绒绣厂,ni
接待室,n
书房,n
微倾,v
神采奕奕,i
右边,nd
茶几,n
全神贯注,i
谈笑风生,i
左边,nd
没影,v
内政部,ni
长齐默尔曼,nh
波恩,ns
取缔,v
６６,m
舍恩胡贝尔,nh
西柏林,ns
籍贯,n
观览,v
接见,v
暮年,nt
恩,n
感恩,v
婢女,n
引自,v
自然辩证法,n
１９５５,m
１４５,m
事倍功半,i
白杨树,n
对开,v
那年,r
考进,v
波恩大学,ni
王恩瑞,nh
王满超,nh
西花厅,ns
剑眉,n
踱步,v
画册,n
诗选,n
西安事变,n
诗抄,n
文集,n
三十六万,m
发售,v
下蛋,v
哺乳,v
附和,v
嘲笑,v
浅见,n
已往,nt
归根到底,i
框子,n
根子,n
戴帽子,v
成见,n
姨,n
说给,v
银两,n
上岗,v
恩怨,n
郗恩庭,nh
乒,j
倾泻,v
张闻天,nh
王稼祥,nh
博古,nh
洛甫,nh
秦邦宪,nh
邓发,nh
凯丰,nh
何克全,nh
李富春,nh
彭德怀,nh
董振堂,nh
李卓然,nh
列席,v
李德,nh
华夫,nh
伍修权,nh
正前方,nd
遵义,ns
有生之年,i
科尔,nh
锗,n
康寿茶,n
广东恩平天然保健品厂,ni
隆福大厦,ni
翠微路副食商场,ni
所在地,n
展望,v
清算,v
倾,n
机会主义,n
举世闻名,i
二万五千,m
狠批,v
极左,a
夙愿,n
精读,v
斯大林,nh
经典著作,n
俨然,a
恩爱夫妻,n
采纳,v
聂璧初,nh
凯悦饭店,ni
英国绵丰集团,ni
总裁,n
贝恩,nh
声像,n
１９５７,m
录音,v
党代会,j
采访本,n
徐特立,nh
吕正操,nh
费尔巴哈,nh
第一性,n
手迹,n
条石,n
题写,v
横匾,n
滦,j
珍藏,v
朱恩明,nh
舰只,n
美国太平洋,ns
莱恩斯,nh
上将,n
青岛,ns
礼节性,n
天津力生队,ni
吴天恩,nh
香港队,n
林辉,nh
得分,v
１９３１,m
泡利,nh
１９００,m
中性,f
科恩,nh
怨言,n
王昌定,nh
申建国,nh
丁振远,nh
王贵良,nh
冯恩德,nh
编剧,n
手软,a
正手,n
突袭,v
表演赛,n
神户市羽毛球协会,ni
吉田升,nh
滕江久善,nh
吴天想,nh
西德汽车工业协会,ni
舍恩贝克,nh
法兰克福美国商会,ni
活动家,n
外因,n
唯物史观,n
庸俗化,v
杜林,nh
拉马克,nh
物种,n
起源,n
创立,v
居维叶,nh
激变,v
舍弃,v
独裁,v
捧成,v
超人,n
听任,v
宰割,v
摆布,v
垄断,v
诺尔曼,nh
设计者,n
刘向平,nh
衡山,ns
李德福,nh
杨文清,nh
工人运动,n
辩证唯物主义,n
历史唯物主义,n
灭亡,v
猿,n
举例,v
水分,n
独创,v
正规军,n
暴动,v
溃败,v
邓中夏,nh
甚微,a
亚典,ns
掌教,n
知恩,v
徒弟,n
亚力山大,nh
相帮,v
亚细亚,ns
科学社会主义,n
右派分子,n
雷海宗,nh
历史系,n
马恩,nh
奴隶制,n
雇佣,v
局限,v
１８４７,m
国际组织,n
同盟,n
草拟,v
１８９３,m
社会主义者,n
贺信,n
愈益,d
肩并肩,v
寒,a
共同纲领,n
新民主主义,n
公敌,n
胜于,v
自然规律,n
资本主义社会,n
伯恩施坦,nh
修正,v
阶层,n
营垒,n
预见,v
绝对化,v
衰落,v
备受,v
推断,v
巴黎公社,n
国家机器,n
取而代之,i
争来,v
恩赐,v
私有制,n
奴隶制度,n
反杜林论,n
伯恩斯坦,nh
二五,m
赞,v
世代,nt
伊里奇,nh
政治学,n
政冶,n
古代人,n
宗法,n
醇,a
犹太教,n
私生子,n
保尔·拉法格,nh
１８９１,m
议会制,n
政治制度,n
洛克,nh
佩恩,nh
卢梭,nh
法学家,n
折衷,v
人权,n
自由权,n
验证,v
先验,v
中级,a
贵族,n
泽,n
捐税,n
豪奢,a
过重,a
一九四四,m
日寇,n
陈仪,nh
日方,n
签定,v
华南,nl
一九五Ｏ,m
政治协商会议,ni
闭幕词,n
中国人民政治协商会议,ni
五斗米道,ni
支流,n
残存,v
巴蜀,ns
陈瑞,nh
李特,nh
范长生,nh
迁至,v
魏,nt
传教,v
杜子恭,nh
孙恩,nh
卢循,nh
有影响,v
３９９,m
叔父,n
谋反,v
海岛,n
起事,v
起义军,n
会稽,ns
地方官,n
王凝之,nh
所到之处,n
晋书,n
孙恩传,nh
４０１,m
江面,nl
进逼,v
都城,n
建康,ns
恐慌,a
神学,n
宗派,n
因果报应,i
空头支票,n
诱,v
僧侣,n
赋,v
孔教,n
亲亲,v
眷念,v
亲情,n
基,n
血统,n
晋朝,nt
刘裕,nh
武帝,nh
大败,v
逃回,v
４０２,m
聚众,v
临海,v
太守,n
辛景,nh
派兵,v
慼,v
自沉,v
妖,n
妓,n
妾,n
谓,v
水仙,n
枣,n
死后,nt
妹婿,n
残余,n
义军,n
推为,v
豪门,n
信奉,v
蒙,v
接替,v
带至,v
天父,n
惭,v
觳觫,n
教会,n
主教,n
领地,n
司法权,n
征税,v
榨取,v
诉讼费,n
罚金,n
苛捐杂税,i
维恩城,ns
里昂,ns
宗教改革,n
检察,v
立法,v
塞尔维特,nh
维恩,ns
下狱,v
加尔文,nh
法国式,n
共和,n
赐与,v
恩典,n
基督教徒,n
功,n
修道,v
祭典,n
魏恩波,nh
魏保罗,nh
真耶稣教会,ni
祷告,v
传遍,v
尸,n
升仙,v
故而,c
举事,v
杜慧度,nh
命人,v
肢解,v
被俘,v
头颅,n
砍下,v
送至,v
京都,n
法官,n
贫富,n
依存,v
１９５０,m
联合国安全理事会,ni
安全理事会,ni
一九二六,m
阵延年,nh
梧州,ns
南宁,ns
东兰,ns
柳州,ns
奉议,ns
恩隆,ns
中央人民政府,ni
台湾海峡,ns
江浙,ns
赵世炎,nh
罗亦农,nh
纠察队,n
施于,v
施政,v
浦东,ns
南市,ns
中国航空公司,ni
管辖,v
无能为力,i
当权,v
推倒,v
邱吉尔,nh
不致,v
大可不必,i
１９５４,m
艾德礼,nh
工党,j
但书,n
借以,v
局限性,n
虚伪性,n
下厂,v
工农兵,n
急性,a
病患者,j
散件,n
代买,v
牟利,v
豫园商场光芒料器店,ni
定制,v
高脚,n
刻花,v
壶,n
有意无意,i
忽略,v
两性,n
合法化,v
自有,v
租赁,v
有偿转让,v
聘用,v
解聘,v
荤,n
蒸,v
香味,n
浓郁,a
腻,v
偏离,v
口头,n
承办,v
聘,v
低息,n
办厂,v
电耗,v
限额,n
限电,v
投机取巧,i
调集,v
城建,n
合建,v
坑口,nl
山神庙,n
五百九十六,m
四百五十四,m
公断,v
居间,v
调停,v
万不得已,i
粘性,n
深耕,v
１２５,m
铧,n
临西县,ns
融为一体,i
尖端技术,n
稀有金属,n
专卖,v
竞争性,n
技术密集型,i
可视,v
参股,v
控股,v
县司法局,ni
南甸有机化工厂,ni
石家庄市玩具厂,ni
合同法,n
一知半解,i
上当,v
受骗,v
安瓿,n
变质,v
凝,v
效,n
注射器,n
交叉感染,v
以求,v
分享,v
出嫁,v
有感而发,i
老党员,n
发信,v
荐,v
齐国,ns
竖刁,nh
易牙,nh
奸臣,n
跟随,v
造反,v
起家,v
帮派,n
中兴,v
毁于一旦,i
财税,j
所得税,n
汇,n
算清,v
剔除,v
计入,v
征收,v
事业费,n
七千五百八十,m
五十六万,m
五十二,m
育才,v
科普,j
磷酸二铵,n
拆掉,v
因噎废食,i
磷酸,n
淡黄色,n
粉末,n
吸湿,v
落脚点,n
精神产品,n
多出,v
向钱看,i
泛滥,v
主观主义,n
胚胎,n
雌雄,n
腺,n
雌性,n
雄性,n
断送,v
终生,n
夭折,v
共相,n
平衡性,n
均一,a
量变,n
要害,n
机能,n
坏死,v
原子核,n
电荷,n
欲速则不达,i
拔苗助长,i
蠢事,n
预期,v
反面,n
观察力,n
表象,n
借用,v
科学史,n
渊博,a
无所作为,i
神经元,n
次序,n
序列,n
肽键,n
卷曲,a
螺旋,n
折叠,v
盘曲,v
氢键,n
千差万别,i
购车,v
许可证,n
工商业者,n
港澳,j
底盘,n
山墙,n
代写,v
诉状,n
答辩,v
走街串巷,i
５亿,m
农作物,n
青贮,v
氨化,v
草食,n
上海金山县金牛皮鞋厂,ni
伪劣产品,n
厂名,n
厂址,n
南通县,ns
电解,v
电容器,n
全塑,n
市话,j
电缆,n
真空包装,n
机织,v
泡泡纱,n
３３,m
名优,a
步入,v
不定期,v
小分队,n
后顾之忧,i
私自,d
怀化,ns
能干,a
当家人,n
专长,n
７５０,m
６６００,m
５３９,m
２６７,m
２７２,m
５．８亿,m
粘合剂,n
原子弹,n
火器,n
室温,n
固化,v
剪切,v
溶剂,n
碱,n
抵抗,v
耐热,a
私有,v
毁坏,v
征用,v
拆迁,v
按期,d
班主任,n
记入,v
考勤,v
学分,n
必修,v
准考证,n
广播电视大学,n
退学,v
均需,v
历年,nt
录取,v
不可偏废,i
硕士,n
学位,n
学以致用,i
审核,v
复试,n
招考,v
试题,n
为准,v
教学计划,n
安德烈,nh
六十九,m
一万七千,m
真心,n
集权,n
筷,n
农垦,n
四百八十六,m
银质,n
王朝牌,ni
干白,j
葡萄酒,n
金质,n
广东省,ns
高教,j
管理权,n
人才市场,n
扭曲,v
大环境,n
院墙,n
相辅相成,i
北京大学,ni
丁石孙,nh
失控,v
名不副实,i
济南,ns
考评,v
战役,n
理想化,v
一概,d
简单化,v
富余,v
投资额,n
驼,n
弯背,v
小桥,n
典雅,a
停建,v
缓建,v
打歼灭战,v
未定,v
过关,v
三废,j
海鸥,n
挑子,n
晾,v
拿一把,i
司徒汉,nh
大合唱,n
带进,v
乐曲,n
约旦河,ns
杠杆,n
前哨,n
突发,v
不忠,a
贞,a
不专,a
不道德,a
军事科学,n
未有,v
分给,v
贯穿,v
铁路古冶地区食堂,ni
增人,v
售货,v
抽样,v
太行山区,ns
观音堂公社李台大队,ns
十五万,m
立于不败之地,i
十四万,m
丰宁,ns
滦平,ns
十五万六千,m
恭恭敬敬,a
年产,v
青大枣,n
蜜枣,n
青枣,n
组织部,n
审定,v
撑腰,v
定员,v
法子,n
独立核算,v
凌驾于,v
千斤重担,n
责任状,n
修订,v
口粮,n
白涧,ns
铁揪,n
推车,n
家庭教育,n
动不动,d
英国苏格兰,ns
乔治·杨格,nh
打印,v
月报,n
视野,n
人选,n
选优,v
提成,v
挫伤,v
挖土,v
烧砖,v
奖罚,v
分批,v
工矿企业,n
载重汽车,n
专车,n
炼油厂,n
食品卫生,n
公积金,n
公益金,n
折旧费,n
杜绝,v
累进税,n
恐,v
总行,n
文化课,n
基础理论,n
专业课,n
编为,v
穷困,a
四百八十九,m
定销,v
编号,n
操作规程,n
超负荷,v
曲庄信用社,ni
陈建国,nh
砸伤,v
元氏县化工总厂,ni
褚现英,nh
按捺,v
全员,n
持股,v
配齐,v
监察员,n
精致,a
铁制,v
家具,n
国家机关,n
执法,v
政务,n
环环相扣,i
高效,a
按理说,i
河北村,ns
依山傍水,i
公有制,n
股权,n
５６.４万,m
５３万,m
自费生,n
３.４万,m
捞取,v
外快,n
公务,n
目标管理,n
２７５０,m
分步,d
原辅材料,n
减亏,v
交付,v
缓收,v
社会主义市场经济体制,n
稽征,v
宋成义,nh
车号,n
３８５０,m
球蛋白,n
顺延,v
专营,v
自销,v
三角债,n
抵偿,v
拖欠款,n
南孙庄乡骨颗粒厂,ni
受罚,v
败坏,v
德才兼备,i
连续性,n
长治久安,i
正新药店,ni
承包制,n
月末,nt
模具,n
钢架,n
贵州省,ns
份额,n
岸边,nl
要案,n
王国,n
步调,n
垫付,v
和解,v
裁定,v
销毁,v
编者按,n
万物,n
开垦,v
稻田,n
苇田,n
虾池,n
确无,v
暂住,v
借住,v
山系,n
流域,n
流转,v
不学,v
种菜,v
编织,v
美化,v
草坪,n
繁殖,v
国家计委,j
建设部,ni
改建,v
可行性研究,v
税费,n
吨公里,q
作到,v
评优,v
综合治理,i
并举,v
标本兼治,i
重在,v
治本,v
瓦斯,n
排放,v
潘一矿,ns
责任事故,n
经济系,n
降矢宪一,nh
五六万,m
不好过,v
亏空,v
８００万,m
１０００万,m
北京航天航空大学,ni
７００万,m
广州大学,ni
财政赤字,i
下马,v
满腔热忱,i
无产阶级文化大革命,n
分路,v
险段,n
东夏镇,ns
三叉,n
塌方,v
六十五点七,m
宝山钢铁厂,ni
闵行电厂,ni
金山水泥厂,ni
建筑面积,n
九十八万,m
铸造,v
锻造,v
热处理,v
电镀,v
补习班,n
教学班,n
代数,n
几何,n
语文,n
观望,v
按兵不动,i
葛洲坝,ns
闸门,n
电钮,n
０００,m
歪曲,v
计委,j
成套,n
善后,v
逐条,d
归纳,v
拟出,v
尚不,d
议定,v
北京市三里河百货商场,ni
横桥乡,ns
泉掌镇,ns
折成,v
评议,v
１.３３万,m
２万,m
装甲车,n
１.３７万,m
大炮,n
５１５０,m
评奖,v
僵,a
天数,n
记分,v
事假,n
得奖,v
收购价,n
立米,q
定金,n
专栏,n
隐瞒,v
语录,n
劈柴,n
市价,n
约合,v
九十六,m
强弱,n
冬运会,j
大势,n
座次,n
凳子,n
淘米,v
做饭,v
便装,n
营区,n
条令,n
换好,v
黑龙江省完达山食品厂,ni
越是,c
鼎盛,a
承运,v
信函,n
目无法纪,i
有色,a
首钢,j
矮胖,a
系数,n
３．０,m
着落,n
上窜下跳,i
残,a
扯皮,v
性子,n
干饭,n
不循,v
医德,n
处方,n
药价,n
社会性,n
数理化,j
即便是,c
科威特,ns
全胜,n
沙特阿拉伯,ns
预卜,v
无从,d
抽签,v
南方证券有限公司,ni
立法委员,n
５１,m
北京时间,n
下同,v
５３,m
０７,m
合肥,ns
０６,m
福州,ns
南昌,ns
芯片,n
售票员,n
基本功,n
第三产业,n
日程,n
定海,ns
沈家门,ns
海门,ns
班轮,n
航线,n
托运,v
上海港客运总站营业所,ni
移至,v
上港一区营业所,ni
浦东东昌路,ns
烂泥渡路,ns
签单,v
金陵东路三三○号,ns
市百货公司日用品批发部,ni
虹口区医药批发商店,ni
十店,ni
百货商店,n
药店,n
新光内衣染织厂,ni
第一丝绸印染厂,ni
绣衣四厂,ni
上海领带厂,ni
正值,v
鲜蛋,n
禽蛋,n
大观园,n
半日,nt
国家旅游局,ni
酗酒,v
志愿者,n
揭幕,v
库,n
内勤,n
外勤,n
错开,v
望都县赵庄供销社张庄分销店,ni
抢劫案,n
市房地局常委,ni
房地局常委,ni
上海市群众艺术馆,ni
上海县七一公社,ns
光明中学,ni
上棉十二厂,ni
市武装警察总队,ni
曹杨街道,ni
闵行区,ni
电告,v
黄浦区房地局,ni
不服,v
上诉,v
市中级人民法院,ni
驳回,v
原判,n
四川省达县丝绸厂,ni
汤明全,nh
十六铺码头,ns
长阳路上海第一绸缎炼染厂,ni
卸货,v
独占,v
松江县新五公社,ns
日本松下电器公司,ni
青年宫,n
旅游团,n
集体婚礼,n
新娘,n
别开生面,i
风景点,n
平湖秋月,ns
浙江省,ns
钟发宗,nh
证婚人,n
市住宅公司六○三队,ni
燕牌,ni
万航渡路六百七十六弄,ns
煤渣,n
叠,v
打靶,v
市机电一局,ni
金陵东路四○三号,ns
培罗蒙西服分店,ni
中山装,n
西裤,n
西式,a
２６．８,m
０５,m
解放日报,ni
朝花,ni
燕群,nh
现时代,nt
强者,n
超出,v
桑德森,nh
金边,ns
学生会,n
科目,n
时装表演,n
博览,v
上海时装公司,ni
双绉连,n
衫裙,n
涤沦乔其纱连,n
广中路八一六号,ns
南北土产商店,ni
杉木,n
双面,n
纤维板,n
松木,n
乾隆,nt
增建,v
顿起,v
歹意,n
遥控,v
路标,n
亦可,vu
操刀,v
主罚,v
人墙,n
直插,v
辽宁省,ns
吉林省,ns
江苏省,ns
安徽省,ns
福建省,ns
江西省,ns
山东省,ns
河南省,ns
湖北省,ns
云南省,ns
陕西省,ns
甘肃省,ns
青海省,ns
维吾尔,ns
台湾省,ns
九五,j
特许,v
相会,v
储藏,v
炼油,v
精打细算,i
铺平,v
守法,v
责无旁贷,i
盛夏,nt
日趋成熟,i
抓出,v
发扬光大,i
临西县文化馆,ns
卢庆生,nh
邢台,ns
梁建平,ns
卢士奇,nh
徒步,v
启程,v
接上,v
温情,n
烦忧,v
拥抱,v
壮观,a
得体,a
着意,d
装点,v
不只,c
隋唐,nt
景,n
效法,v
香河县,ns
两地分居,i
水利局,n
宪州,nhs
景县,ns
农转非,j
肖何举,nh
曹参以,nh
传帮带,v
交接班,n
后继有人,i
兴旺发达,i
敲门,v
下炕,v
不误,v
鱼跃,v
新民主主义革命,n
壮阔,a
风云变幻,i
外援,n
为辅,v
不懈,a
厚望,n
为人师表,i
亚太地区,j
更不用说,i
不可逆转,i
强盛,a
求同存异,i
缔造,v
亚太,j
新世纪,nt
反腐倡廉,i
魔影,n
１６０００,m
增到,v
１４０万,m
助长,v
气焰,n
顺应,v
成败,n
创造力,n
陈希同,nh
病痛,n
医师,n
贫困县,n
大中型企业,j
贸促会,j
经贸界,j
多元化,v
下肚,v
兴农,v
界定,v
跨越,v
无锡丽浦电子有限公司,ni
本案,n
一审,j
高院,j
更未,d
原告,n
古蔺郎酒厂,ni
新任,v
撤诉,v
准予,v
四川省高院,ni
传唤,v
郎酒厂,ni
曲酒厂,ni
庭,n
泸州,ns
均属,v
造册,v
山东省农业银行,ni
农村信用社,ni
生产经营型,n
先导,n
制高点,n
难于,d
江苏南通县,ns
职业妇女,n
花圈,n
没谱,v
古典音乐,n
逢年过节,i
四中全会,j
治理整顿,v
港人,j
放开,v
移居,v
机车,n
促生产,v
正点,v
快跑,v
苦练,v
不骄不躁,i
乘胜,d
郑州铁路局,ni
铁道线,n
呼伦贝尔,ns
巍峨,a
山麓,n
嫩江,ns
群情,n
斗志昂扬,i
电解铜,n
１６００,m
独联体,j
市红十字肿瘤咨询中心,ni
顾绥岳,nh
张去病,nh
李月云,nh
郭秉宽,nh
吴学愚,nh
邹仲,nh
徐晶文,nh
张锡泽,nh
吴孟超,nh
弗朗兹·包姆加尔特纳,nh
收效,v
普陀区西康菜场,ns
吴淞区,ns
马泾桥,ns
盛桥,ns
四万,m
迁居,v
齿轮,n
区环卫所,ni
缡,v
瓷砖,n
三友实业社毛巾厂,ni
绒面,n
月牙,n
枕巾,n
上海巾被公司门市部,ni
市百八店,ni
交付使用,v
宾客,n
对外友协,j
李尔重,nh
筹委会,j
报告会,n
河北人民广播电台,ni
河北电视台,ni
文史,n
五百九十七万,m
四百一十二万,m
九十六万,m
夏令营,n
胜地,n
卢龙县工商局,ni
爱卫会,j
防疫站,n
邯郸市,ns
合法经营,v
石家庄市无线电一厂,ni
白鹤,ni
东京代代木第二体育馆,ns
对抗赛,n
荻村,nh
下榻,v
京王饭店,ni
国防部,ni
委内瑞拉,ns
路易斯·奥克塔维奥·罗梅洛,nh
总参,j
沈少星,nh
总机,n
百分之百,i
驻有,v
声学,n
高芝兰,nh
荣漱仁,ni
华东纺织工学院,ni
王映秋,nh
上棉二十一厂,ni
会计师,n
陈婉华,nh
技术监督,v
取证,v
帐号,n
装潢,v
吴忠浩,nh
长岭路六十弄二十四号,ns
减慢,v
使馆,n
参赞,n
奥列格·戈尔季耶夫斯基,nh
评论家,n
碎片,n
斑痕,n
新里庄大队,ns
１８００万,m
钒,n
除尘,v
石库门,n
坟上,nl
村头,nl
神龛,n
关老爷,nh
教育部党组纪检组,ni
群山,n
环抱,v
战旗,n
军威,n
雄壮,a
后勤部,ni
张子严,nh
答题,v
某某,r
暴病,n
未及,v
掩埋,v
光天化日,i
窜进,v
石铁分局,ni
少女,n
敏捷,a
搁下,v
胜利酶制剂厂,ni
均创,v
糖化酶,n
坦克团,n
徐义彬,nh
吃透,v
驻地,n
曹庄,ns
杨庄,ns
社教,j
工作队,n
现行,a
私营企业,n
供认不讳,i
招认,v
丧心病狂,i
老妪,n
凭空,v
从天而降,i
比拟,v
促成,v
君子兰,n
超常,v
论据,n
逆转,v
历次,r
查抄,v
海南省,ns
致函,v
广西自治区工商局,ni
统一体,n
性状,n
变异,n
广西自治区政府,ni
张宪廷,nh
贾宏伟,nh
沈干雄,nh
李建海,nh
魏星翔,nh
哈志凌,nh
索东赞,nh
爱民,v
勇士,n
前市,n
黄梦花,nh
许家屯,nh
疑虑,n
铁骑,n
美誉,n
五亿,m
总后,j
江汉平原,ns
良田,n
吞没,v
排水,v
老战友,n
冤家,n
大校,n
率部,v
江苏宜兴,ns
批驳,v
隐藏,v
觉察,v
乳白色,n
救护车,n
驶,v
懒猫,n
羚羊,n
讽喻,n
１９５９,m
收治,v
重型,a
冠心病,n
中西,j
心绞痛,n
郭士魁,nh
会诊,v
闽江,ns
围困,v
福州洪山粮库,ns
闽,ns
齐腰,v
洪峰,n
捕猎,v
生财之道,n
偷猎,v
紧跟,v
挂出,v
三反,j
草率,a
一走了之,i
买好,v
利生,ni
激增,v
器械,n
炮团,n
走时,nt
打牢,v
丰富多彩,i
革命传统教育,n
习武,v
黑话,n
人身,n
科学院,n
财务科,n
管理费,n
河南省文化厅,ni
龟甲,n
契,n
形体,n
安阳,ns
殷墟,n
甲骨文,n
某校,n
升学率,n
军械,n
告急,v
解放牌,n
奔赴,v
决口,v
土石,n
沙包,n
草袋,n
摸黑,v
夯实,v
喝光,v
火药,n
猎枪,n
对准,v
勾动,v
酿出,v
仗着,v
人心惶惶,i
钮宏亮,nh
工委,j
购书,v
蔚,d
走极端,i
视作,v
赞誉,v
吹毛求疵,i
丰南县黄各庄乡,ns
刺绣,n
兰州,ns
靶场,n
勤务,n
解放军郑州高炮学院,ni
九一,m
过量,v
村民,n
喜酒,n
渡槽,n
跌入,v
家长里短,i
醋酸,n
琐事,n
浓墨重彩,i
渲染,v
所为,n
哭笑不得,i
娱乐,v
轻音乐,n
饶有兴致,i
绯闻,n
婚恋,n
轶事,n
不辍,v
厌,v
详,a
绘声绘色,i
历,v
其境,n
镇守,v
叙,v
公害,n
以期,v
杆菌,n
殖,v
挥发,v
酒后,nt
大忌,n
雅观,a
高层,n
在学,v
管理学,n
寄回,v
大不敬,i
某日,nt
大庭广众,i
氮气,n
悦,v
丝竹,n
兰,n
麝,n
馨,n
盲从,v
某天,nt
色狼,n
苏州河,ns
单身,n
山西北路派出所,ni
守候,v
落网,v
合身,a
跑遍,v
苏州路,ns
侮辱,v
故伎,n
文科,n
土豆,n
外厂,n
陈德科,nh
官倒,v
教育学院,ni
雅,a
不俗,a
天真烂漫,i
共用,v
马桶,n
感染,v
侯会光,nh
侵略者,n
探家,v
去信,v
情由,n
黄世葵,nh
连里,nl
有悖于,v
笔杆子,n
冬训,v
饲养员,n
青岛市,ns
被害者,n
４６,m
市场经济,n
偏重,v
北京部队石家庄休干所,ni
李景昆,nh
董常福,nh
识大体,v
午休,v
连指导员,n
高同海,nh
查看,v
午睡,v
建团,v
永在,v
留传,v
万世,nt
李志有,nh
石家庄市郊运河桥边,ns
打草,v
掉进,v
清脆,a
嘟,o
北京牌,ni
驶入,v
高炮,n
原籍,n
武汉市,ns
团副,n
宗永甫,nh
１９６５,m
师团,n
师部,n
姜机富,nh
高机连,n
稻草,n
铺下,nl
１９６８,m
营长,n
罗洪发,nh
随军,v
矢志,v
戍边,v
同属,v
用以,v
五花八门,i
刺探,v
天宫,n
奥秘,n
记叙,v
雷达站,n
片断,n
瘦肉型,n
试管,n
航空兵,n
宣传科,n
干事,n
胡永球,nh
谦虚谨慎,i
待人,v
跟上,v
５５６７７,m
营房,n
近便,a
福建省漳州市,ns
惦,v
回请,v
５８２,m
老战士,n
当好,v
义务兵,n
大吃大喝,i
想通,v
表态,v
炮,n
录,n
弹药库,n
扎根,v
葛田,nh
炮兵连,n
配置,v
浅谈,v
文德荣,nh
伙食费,n
教改,v
试验田,n
互相间,n
激将,v
点名,v
嘹亮,a
此起彼落,i
抗洪,v
洪涝,n
争先,v
荣立,v
驻扎,v
会集,v
熄灯,v
灯火通明,i
新年,nt
拥军优属,i
拥政爱民,i
军士,n
甘肃,ns
住进,v
旅店,n
练出,v
战斗力,n
薛晓明,nh
易治敬,nh
袁秀英,nh
就事论事,i
武术,n
札记,n
太空管理局,ni
华裔,n
女教师,n
徐卫勇,nh
驻守,v
喀喇昆仑,ns
机务,n
导航,v
台长,n
贺建华,nh
江心小岛,ns
马安全,nh
冷杰松,nh
１９６１,m
阳春,nt
３９,m
僵化,v
泾渭分明,i
何顺周,nh
炊事,n
李成义,nh
杨志亮,nh
炮长,n
１９６３,m
大连海军舰艇学院,ni
伍养军,nh
马礼明,nh
军医,n
黄海,ns
张志强,nh
乔如成,nh
胞,n
吴兆发,nh
塞外,nl
寒区,nl
实战,n
苏耀璠,nh
蹲点,v
刘艺,nh
刘健,nh
１９７４,m
１９７５,m
司务,v
程建平,nh
王典汉,nh
出任,v
篮球,n
传为佳话,i
医术,n
精明,a
落款,n
侨,n
一言堂,i
家长制,n
专制主义,n
法西斯主义,n
防化,v
比武,v
张升孝,nh
喷火,v
夺魁,v
象征性,n
签上,v
闪击,v
敌我,n
优劣,n
次要,a
石修志,nh
侗族,ns
１９５３,m
１９７２,m
某处,nl
刘弥群,nh
身板,n
前额,n
机敏,a
英武,a
自然科学,n
高能,n
某型,n
地空导弹,n
新长征突击手,n
场站,n
李广厚,nh
自我标榜,v
莘莘学子,n
深信不疑,v
解放后,nt
北京航空学院,ni
织布,v
织好,v
住宅区,n
总工程师,n
热衷,v
此会,n
长此以往,i
滋事,v
不胜,d
唏嘘,v
积蓄,v
变卖,v
翻一番,v
欺上瞒下,i
通力,v
严厉,a
乌纱,n
走南闯北,i
除此以外,i
在此期间,nt
市地,n
武装部长,n
肉用,v
牛羊,n
孩,n
苍白,a
鼻血,n
审理,v
偏远,a
生息,v
繁衍,v
开棺,v
验尸,v
乡级,n
搭乘,v
３.５万,m
２千,m
真理报,ni
署名,n
纯属,v
严打,v
汽车厂,n
腻子,n
车身,n
缺陷,n
耐久性,n
自负,v
自强,a
自力,v
自尊,v
升华,v
由此看来,i
培训班,n
县交通局长,ni
李风楼,nh
征费,v
佐,n
吸附,v
氢氧化铝,n
胶体,n
匀,a
飞人,n
自此,d
演艺,n
谷草,n
骡马,n
税后,nt
留利,v
城楼,n
五星红旗,n
宣告,v
大兴,v
豁然开朗,i
跃上,v
不屈不挠,i
遵循,v
平等互利,i
失掉,v
异己,n
沦为,v
论调,n
生产方式,i
大体说来,i
彼,r
荒地,n
天长日久,i
裂变,v
天体,n
海啸,n
雷电,n
合而为一,i
时宜,n
识别,v
确定性,n
多样性,n
快慢,n
跟不上,v
言过其实,i
创见,n
剥皮,v
中饱,v
私囊,n
春运,v
曾享瑞,nh
跨行业,v
拿回,v
奋进,v
船舶,n
创收,v
劳苦功高,i
有鉴于此,i
科教,n
邙山区,ns
人马,n
征讨,v
关机,v
逃离,v
郑州市,ns
停水,v
梁润基,nh
笔记本,n
便携式,a
该不该,vu
中外合资,v
丽浦,ni
泸州市,ns
古蔺县,ns
方郎酒厂,ni
法人代表,n
云宗倜,nh
林永清,nh
联名,v
代发,v
东方航空公司,ni
淅江长兴县,ns
七千五百,m
播下,v
黄山松,n
马尾松,n
种籽,n
四百万,m
此项,r
高强,a
鸥,n
濒临,v
黔,ns
金丝猴,n
牛尾,n
灵长类,n
第四纪,nt
冰川,n
遗老,n
学界,n
活化石,n
复杂性,n
资本主义制度,n
